amfi_code,return_1y,return_3y,return_5y,expense_ratio,anomaly
120000,18.61,21.6,13.32,0.25,False
120001,14.13,10.37,22.77,1.06,False
120002,11.37,17.55,24.71,0.97,False
120003,22.38,10.71,12.99,1.23,False
120004,18.7,10.23,23.85,0.58,False
120005,11.66,15.82,22.35,1.53,False
120006,20.68,15.92,22.17,1.0,False
120007,9.28,17.64,14.93,1.68,False
120008,7.15,24.67,26.27,0.57,False
120009,23.4,9.65,21.6,1.49,False
120010,6.1,10.28,23.72,0.8,False
120011,11.01,18.25,25.85,0.71,False
120012,23.51,11.53,19.09,0.41,False
120013,16.11,15.12,27.63,1.01,False
120014,27.21,10.91,13.94,1.28,False
120015,12.82,11.41,27.72,0.71,False
120016,29.61,17.14,11.12,0.33,False
120017,21.43,10.26,22.23,1.02,False
120018,21.47,15.72,25.45,0.26,False
120019,6.6,12.36,22.4,1.5,False
120020,8.42,16.2,16.59,1.54,False
120021,16.86,18.54,25.46,1.86,False
120022,5.81,18.18,14.11,2.08,False
120023,17.12,19.8,10.05,0.38,False
120024,25.98,24.2,24.62,0.99,False
120025,22.23,20.09,20.14,1.02,False
120026,29.99,22.85,15.63,2.16,False
120027,9.75,15.88,27.72,0.9,False
120028,11.16,9.83,13.78,0.95,False
120029,5.95,10.67,18.44,2.0,False
120030,22.31,13.76,17.4,0.89,False
120031,17.65,21.73,20.48,1.98,False
120032,23.21,23.89,10.93,0.24,False
120033,21.75,23.07,17.21,0.76,False
120034,6.83,13.53,17.55,1.4,False
120035,22.4,9.21,22.76,1.91,False
120036,17.02,24.11,23.08,0.28,False
120037,23.67,11.74,26.04,1.01,False
120038,14.03,9.91,22.49,0.85,False
120039,29.75,20.59,17.1,0.51,False
