transaction_id,amfi_code,transaction_date,transaction_type,amount,state,kyc_status,age_group,gender,city_tier
1,120015,2024-10-09,Lumpsum,57113.51,Karnataka,Rejected,18-25,Female,T30
2,120021,2023-01-24,Lumpsum,195362.72,Delhi,Verified,26-35,Female,T30
3,120020,2023-12-13,Lumpsum,286959.54,West Bengal,Verified,36-45,Male,B30
4,120029,2024-02-03,Lumpsum,419425.26,Tamil Nadu,Verified,36-45,Female,B30
5,120004,2023-03-04,Lumpsum,217762.4,Gujarat,Rejected,46-60,Male,T30
6,120007,2025-07-15,Lumpsum,76040.15,Karnataka,Rejected,18-25,Female,T30
7,120016,2024-04-24,Redemption,22786.1,Karnataka,Rejected,26-35,Male,T30
8,120039,2023-08-17,SIP,356773.24,Telangana,Rejected,60+,Male,B30
9,120024,2024-02-12,Lumpsum,191963.34,Maharashtra,Pending,18-25,Male,T30
10,120001,2025-09-26,SIP,229865.79,Delhi,Verified,26-35,Female,B30
11,120023,2023-04-27,Redemption,476869.99,Maharashtra,Pending,60+,Male,B30
12,120018,2024-10-26,SIP,205250.45,Maharashtra,Rejected,46-60,Male,B30
13,120004,2022-05-13,Redemption,94194.07,Kerala,Rejected,60+,Female,T30
14,120023,2023-11-20,SIP,11093.66,Telangana,Verified,60+,Male,T30
15,120021,2022-07-19,Lumpsum,207687.82,Kerala,Rejected,36-45,Male,B30
16,120033,2023-02-21,Redemption,171123.31,Karnataka,Rejected,36-45,Male,T30
17,120020,2023-09-04,SIP,419566.63,Delhi,Rejected,60+,Female,B30
18,120000,2022-10-17,Lumpsum,320447.42,Karnataka,Pending,60+,Female,B30
19,120012,2024-08-12,Lumpsum,204299.89,Gujarat,Pending,46-60,Male,T30
20,120021,2022-12-15,Lumpsum,41058.89,Telangana,Verified,26-35,Male,B30
21,120025,2023-12-17,Lumpsum,475995.65,Telangana,Rejected,26-35,Male,T30
22,120016,2024-05-20,Redemption,87503.05,Karnataka,Verified,18-25,Female,T30
23,120034,2022-05-30,Lumpsum,349033.03,Kerala,Pending,46-60,Female,T30
24,120024,2023-01-25,Lumpsum,64161.05,West Bengal,Rejected,60+,Female,T30
25,120011,2024-03-14,Lumpsum,309905.05,Tamil Nadu,Rejected,60+,Female,B30
26,120032,2023-08-25,Redemption,134146.14,Maharashtra,Pending,18-25,Female,T30
27,120038,2023-06-05,Redemption,158802.87,Gujarat,Rejected,46-60,Female,T30
28,120031,2025-06-26,SIP,432741.56,West Bengal,Pending,26-35,Male,T30
29,120019,2022-01-10,Lumpsum,476908.62,Karnataka,Pending,60+,Female,B30
30,120020,2022-03-18,SIP,232747.19,Maharashtra,Verified,46-60,Male,T30
31,120032,2023-06-13,Lumpsum,122584.18,Telangana,Rejected,36-45,Male,T30
32,120008,2024-11-29,Lumpsum,72260.77,Telangana,Pending,46-60,Female,T30
33,120030,2022-09-17,Redemption,62794.65,Maharashtra,Rejected,60+,Male,B30
34,120003,2024-06-01,Redemption,495887.61,Kerala,Verified,36-45,Female,T30
35,120030,2024-10-17,Redemption,391759.34,Kerala,Rejected,46-60,Female,B30
36,120033,2023-01-30,SIP,413365.08,Delhi,Pending,18-25,Female,T30
37,120034,2023-06-16,Redemption,235442.6,Tamil Nadu,Rejected,46-60,Female,T30
38,120031,2025-10-20,Lumpsum,18661.72,Karnataka,Verified,18-25,Female,B30
39,120011,2023-07-27,Redemption,80129.73,West Bengal,Rejected,60+,Female,B30
40,120032,2024-11-27,Redemption,278107.12,Telangana,Pending,60+,Female,T30
41,120039,2023-06-12,Lumpsum,378237.02,Delhi,Verified,26-35,Male,B30
42,120029,2025-05-25,SIP,246190.98,West Bengal,Rejected,18-25,Male,T30
43,120025,2022-02-19,Lumpsum,142740.71,Karnataka,Pending,46-60,Male,T30
44,120020,2025-11-21,Redemption,410594.76,Maharashtra,Pending,60+,Male,B30
45,120037,2025-03-15,Redemption,366156.21,West Bengal,Pending,26-35,Male,T30
46,120035,2023-03-06,Lumpsum,473306.02,Karnataka,Pending,18-25,Female,B30
47,120037,2024-12-16,SIP,441316.83,Delhi,Pending,18-25,Female,B30
48,120002,2022-08-10,Redemption,431995.12,West Bengal,Rejected,18-25,Male,B30
49,120015,2025-11-28,Redemption,493099.93,Kerala,Rejected,36-45,Male,T30
50,120027,2022-02-08,Redemption,338892.96,West Bengal,Verified,60+,Male,T30
51,120012,2022-04-20,SIP,37383.49,Tamil Nadu,Rejected,26-35,Male,B30
52,120025,2024-05-08,Lumpsum,260208.36,Kerala,Pending,46-60,Male,T30
