amfi_code,date,nav
120000,2022-01-01,101.14
120000,2022-01-08,99.94
120000,2022-01-15,100.38
120000,2022-01-22,100.39
120000,2022-01-29,103.19
120000,2022-02-05,104.91
120000,2022-02-12,105.52
120000,2022-02-19,106.48
120000,2022-02-26,109.21
120000,2022-03-05,111.29
120000,2022-03-12,110.32
120000,2022-03-19,111.52
120000,2022-03-26,111.55
120000,2022-04-02,112.03
120000,2022-04-09,111.86
120000,2022-04-16,113.77
120000,2022-04-23,114.29
120000,2022-04-30,116.29
120000,2022-05-07,115.46
120000,2022-05-14,115.33
120000,2022-05-21,115.77
120000,2022-05-28,118.37
120000,2022-06-04,120.54
120000,2022-06-11,123.33
120000,2022-06-18,125.06
120000,2022-06-25,127.97
120000,2022-07-02,130.49
120000,2022-07-09,128.84
120000,2022-07-16,129.82
120000,2022-07-23,131.94
120000,2022-07-30,134.9
120000,2022-08-06,133.27
120000,2022-08-13,135.59
120000,2022-08-20,134.73
120000,2022-08-27,133.47
120000,2022-09-03,134.91
120000,2022-09-10,137.54
120000,2022-09-17,135.6
120000,2022-09-24,134.04
120000,2022-10-01,132.06
120000,2022-10-08,131.22
120000,2022-10-15,132.8
120000,2022-10-22,133.95
120000,2022-10-29,135.15
120000,2022-11-05,134.47
120000,2022-11-12,134.87
120000,2022-11-19,136.41
120000,2022-11-26,137.58
120000,2022-12-03,139.06
120000,2022-12-10,141.39
120000,2022-12-17,139.84
120000,2022-12-24,138.49
120000,2022-12-31,141.01
120000,2023-01-07,139.04
120000,2023-01-14,140.65
120000,2023-01-21,139.86
120000,2023-01-28,141.4
120000,2023-02-04,144.13
120000,2023-02-11,143.55
120000,2023-02-18,141.83
120000,2023-02-25,143.24
120000,2023-03-04,146.2
120000,2023-03-11,149.16
120000,2023-03-18,149.36
120000,2023-03-25,150.62
120000,2023-04-01,153.55
120000,2023-04-08,153.21
120000,2023-04-15,154.13
120000,2023-04-22,154.25
120000,2023-04-29,154.07
120000,2023-05-06,152.8
120000,2023-05-13,152.66
120000,2023-05-20,154.62
120000,2023-05-27,155.0
120000,2023-06-03,153.33
120000,2023-06-10,155.7
120000,2023-06-17,156.46
120000,2023-06-24,158.77
120000,2023-07-01,157.02
120000,2023-07-08,156.71
120000,2023-07-15,159.58
120000,2023-07-22,161.03
120000,2023-07-29,162.28
120000,2023-08-05,160.54
120000,2023-08-12,160.92
120000,2023-08-19,163.11
120000,2023-08-26,161.35
120000,2023-09-02,160.37
120000,2023-09-09,160.16
120000,2023-09-16,159.49
120000,2023-09-23,160.56
120000,2023-09-30,159.82
120000,2023-10-07,162.14
120000,2023-10-14,163.71
120000,2023-10-21,163.38
120000,2023-10-28,162.95
120000,2023-11-04,163.13
120000,2023-11-11,165.18
120000,2023-11-18,163.79
120000,2023-11-25,164.59
120000,2023-12-02,165.73
120000,2023-12-09,168.14
120000,2023-12-16,168.15
120000,2023-12-23,170.54
120000,2023-12-30,170.62
120000,2024-01-06,173.2
120000,2024-01-13,175.83
120000,2024-01-20,175.85
120000,2024-01-27,175.37
120000,2024-02-03,174.23
120000,2024-02-10,177.15
120000,2024-02-17,177.59
120000,2024-02-24,176.99
120000,2024-03-02,178.22
120000,2024-03-09,178.25
120000,2024-03-16,176.54
120000,2024-03-23,178.02
120000,2024-03-30,176.9
120000,2024-04-06,177.55
120000,2024-04-13,179.29
120000,2024-04-20,181.62
120000,2024-04-27,179.77
120000,2024-05-04,182.64
120000,2024-05-11,184.15
120000,2024-05-18,186.68
120000,2024-05-25,188.9
120000,2024-06-01,189.49
120000,2024-06-08,190.11
120000,2024-06-15,188.7
120000,2024-06-22,188.13
120000,2024-06-29,189.21
120000,2024-07-06,189.72
120000,2024-07-13,189.52
120000,2024-07-20,190.39
120000,2024-07-27,189.19
120000,2024-08-03,190.02
120000,2024-08-10,191.41
120000,2024-08-17,193.87
120000,2024-08-24,192.56
120000,2024-08-31,193.16
120000,2024-09-07,194.97
120000,2024-09-14,197.89
120000,2024-09-21,199.66
120000,2024-09-28,199.24
120000,2024-10-05,201.88
120000,2024-10-12,201.37
120000,2024-10-19,200.22
120000,2024-10-26,202.36
120000,2024-11-02,202.41
120000,2024-11-09,203.62
120000,2024-11-16,206.29
120000,2024-11-23,206.43
120000,2024-11-30,204.97
120000,2024-12-07,203.36
120000,2024-12-14,203.41
120000,2024-12-21,204.37
120000,2024-12-28,202.76
120000,2025-01-04,203.1
120000,2025-01-11,203.97
120000,2025-01-18,203.07
120000,2025-01-25,204.58
120000,2025-02-01,206.47
120000,2025-02-08,204.79
120000,2025-02-15,206.16
120000,2025-02-22,208.2
120000,2025-03-01,208.04
120000,2025-03-08,210.11
120000,2025-03-15,209.59
120000,2025-03-22,211.35
120000,2025-03-29,211.14
120000,2025-04-05,213.55
120000,2025-04-12,211.74
120000,2025-04-19,213.66
120000,2025-04-26,216.15
120000,2025-05-03,214.22
120000,2025-05-10,214.92
120000,2025-05-17,217.15
120000,2025-05-24,217.93
120000,2025-05-31,216.85
120000,2025-06-07,215.91
120000,2025-06-14,218.22
120000,2025-06-21,217.71
120000,2025-06-28,216.5
120000,2025-07-05,214.78
120000,2025-07-12,212.79
120000,2025-07-19,214.6
120000,2025-07-26,214.7
120000,2025-08-02,217.5
120000,2025-08-09,216.39
120000,2025-08-16,215.54
120000,2025-08-23,215.44
120000,2025-08-30,213.9
120000,2025-09-06,214.69
120000,2025-09-13,216.86
120000,2025-09-20,216.67
120000,2025-09-27,214.99
120000,2025-10-04,215.91
120000,2025-10-11,214.29
120000,2025-10-18,216.8
120000,2025-10-25,216.18
120000,2025-11-01,216.34
120000,2025-11-08,215.28
120000,2025-11-15,218.09
120000,2025-11-22,216.58
120000,2025-11-29,216.06
120000,2025-12-06,217.13
120000,2025-12-13,219.51
120000,2025-12-20,220.49
120000,2025-12-27,220.93
120001,2022-01-01,98.56
120001,2022-01-08,99.5
120001,2022-01-15,100.78
120001,2022-01-22,101.17
120001,2022-01-29,102.48
120001,2022-02-05,104.22
120001,2022-02-12,105.41
120001,2022-02-19,106.3
120001,2022-02-26,106.61
120001,2022-03-05,107.04
120001,2022-03-12,108.43
120001,2022-03-19,109.23
120001,2022-03-26,112.12
120001,2022-04-02,113.83
120001,2022-04-09,114.52
120001,2022-04-16,114.92
120001,2022-04-23,116.01
120001,2022-04-30,117.94
120001,2022-05-07,116.02
120001,2022-05-14,117.68
120001,2022-05-21,115.7
120001,2022-05-28,118.56
120001,2022-06-04,117.23
120001,2022-06-11,118.45
120001,2022-06-18,119.87
120001,2022-06-25,119.44
120001,2022-07-02,120.87
120001,2022-07-09,123.35
120001,2022-07-16,122.94
120001,2022-07-23,122.11
120001,2022-07-30,124.03
120001,2022-08-06,125.23
120001,2022-08-13,126.37
120001,2022-08-20,127.57
120001,2022-08-27,125.64
120001,2022-09-03,125.86
120001,2022-09-10,127.17
120001,2022-09-17,128.6
120001,2022-09-24,128.08
120001,2022-10-01,129.4
120001,2022-10-08,129.2
120001,2022-10-15,128.7
120001,2022-10-22,126.75
120001,2022-10-29,128.68
120001,2022-11-05,129.18
120001,2022-11-12,129.72
120001,2022-11-19,130.45
120001,2022-11-26,133.09
120001,2022-12-03,134.77
120001,2022-12-10,134.28
120001,2022-12-17,132.78
120001,2022-12-24,134.55
120001,2022-12-31,137.0
120001,2023-01-07,138.47
120001,2023-01-14,137.83
120001,2023-01-21,139.05
120001,2023-01-28,139.03
120001,2023-02-04,140.44
120001,2023-02-11,140.67
120001,2023-02-18,140.02
120001,2023-02-25,140.99
120001,2023-03-04,141.64
120001,2023-03-11,141.84
120001,2023-03-18,142.19
120001,2023-03-25,140.42
120001,2023-04-01,139.88
120001,2023-04-08,139.95
120001,2023-04-15,142.3
120001,2023-04-22,140.33
120001,2023-04-29,142.21
120001,2023-05-06,141.25
120001,2023-05-13,141.77
120001,2023-05-20,143.71
120001,2023-05-27,145.72
120001,2023-06-03,145.33
120001,2023-06-10,146.64
120001,2023-06-17,147.49
120001,2023-06-24,148.3
120001,2023-07-01,150.51
120001,2023-07-08,150.1
120001,2023-07-15,148.45
120001,2023-07-22,146.69
120001,2023-07-29,149.29
120001,2023-08-05,148.49
120001,2023-08-12,148.81
120001,2023-08-19,150.52
120001,2023-08-26,149.17
120001,2023-09-02,149.08
120001,2023-09-09,149.11
120001,2023-09-16,149.95
120001,2023-09-23,151.06
120001,2023-09-30,153.88
120001,2023-10-07,156.65
120001,2023-10-14,158.1
120001,2023-10-21,160.78
120001,2023-10-28,163.49
120001,2023-11-04,162.32
120001,2023-11-11,164.0
120001,2023-11-18,163.11
120001,2023-11-25,165.87
120001,2023-12-02,164.57
120001,2023-12-09,166.09
120001,2023-12-16,165.46
120001,2023-12-23,164.71
120001,2023-12-30,167.06
120001,2024-01-06,167.35
120001,2024-01-13,165.96
120001,2024-01-20,163.98
120001,2024-01-27,163.2
120001,2024-02-03,162.85
120001,2024-02-10,161.09
120001,2024-02-17,159.54
120001,2024-02-24,160.93
120001,2024-03-02,161.54
120001,2024-03-09,160.68
120001,2024-03-16,162.73
120001,2024-03-23,163.11
120001,2024-03-30,163.29
120001,2024-04-06,163.73
120001,2024-04-13,162.56
120001,2024-04-20,160.72
120001,2024-04-27,162.08
120001,2024-05-04,163.69
120001,2024-05-11,165.91
120001,2024-05-18,167.62
120001,2024-05-25,169.51
120001,2024-06-01,169.43
120001,2024-06-08,167.98
120001,2024-06-15,166.46
120001,2024-06-22,165.74
120001,2024-06-29,165.62
120001,2024-07-06,164.95
120001,2024-07-13,166.23
120001,2024-07-20,167.21
120001,2024-07-27,168.43
120001,2024-08-03,166.59
120001,2024-08-10,169.02
120001,2024-08-17,168.27
120001,2024-08-24,169.43
120001,2024-08-31,171.83
120001,2024-09-07,171.05
120001,2024-09-14,171.31
120001,2024-09-21,170.12
120001,2024-09-28,168.72
120001,2024-10-05,170.19
120001,2024-10-12,170.08
120001,2024-10-19,170.94
120001,2024-10-26,169.24
120001,2024-11-02,167.98
120001,2024-11-09,166.3
120001,2024-11-16,167.06
120001,2024-11-23,167.99
120001,2024-11-30,168.36
120001,2024-12-07,167.41
120001,2024-12-14,167.3
120001,2024-12-21,167.04
120001,2024-12-28,166.02
120001,2025-01-04,164.04
120001,2025-01-11,162.46
120001,2025-01-18,163.22
120001,2025-01-25,164.49
120001,2025-02-01,162.63
120001,2025-02-08,162.89
120001,2025-02-15,163.42
120001,2025-02-22,165.33
120001,2025-03-01,165.57
120001,2025-03-08,164.57
120001,2025-03-15,164.03
120001,2025-03-22,165.63
120001,2025-03-29,167.4
120001,2025-04-05,169.77
120001,2025-04-12,170.55
120001,2025-04-19,171.88
120001,2025-04-26,172.01
120001,2025-05-03,174.82
120001,2025-05-10,173.28
120001,2025-05-17,173.29
120001,2025-05-24,171.92
120001,2025-05-31,172.47
120001,2025-06-07,175.17
120001,2025-06-14,175.6
120001,2025-06-21,174.39
120001,2025-06-28,173.22
120001,2025-07-05,175.29
120001,2025-07-12,176.62
120001,2025-07-19,177.18
120001,2025-07-26,179.07
120001,2025-08-02,177.97
120001,2025-08-09,177.1
120001,2025-08-16,176.32
120001,2025-08-23,176.77
120001,2025-08-30,176.9
120001,2025-09-06,176.8
120001,2025-09-13,177.11
120001,2025-09-20,178.36
120001,2025-09-27,178.49
120001,2025-10-04,178.76
120001,2025-10-11,177.87
120001,2025-10-18,180.74
120001,2025-10-25,182.71
120001,2025-11-01,180.86
120001,2025-11-08,180.63
120001,2025-11-15,180.89
120001,2025-11-22,181.83
120001,2025-11-29,181.27
120001,2025-12-06,183.34
120001,2025-12-13,185.14
120001,2025-12-20,186.45
120001,2025-12-27,188.97
120002,2022-01-01,101.53
120002,2022-01-08,100.39
120002,2022-01-15,102.15
120002,2022-01-22,104.3
120002,2022-01-29,106.97
120002,2022-02-05,106.46
120002,2022-02-12,104.48
120002,2022-02-19,103.34
120002,2022-02-26,105.4
120002,2022-03-05,105.35
120002,2022-03-12,108.0
120002,2022-03-19,106.63
120002,2022-03-26,107.3
120002,2022-04-02,110.22
120002,2022-04-09,110.25
120002,2022-04-16,110.69
120002,2022-04-23,113.17
120002,2022-04-30,113.82
120002,2022-05-07,112.55
120002,2022-05-14,114.99
120002,2022-05-21,113.08
120002,2022-05-28,115.62
120002,2022-06-04,115.22
120002,2022-06-11,117.25
120002,2022-06-18,117.97
120002,2022-06-25,118.39
120002,2022-07-02,116.85
120002,2022-07-09,117.72
120002,2022-07-16,116.98
120002,2022-07-23,115.29
120002,2022-07-30,117.17
120002,2022-08-06,115.81
120002,2022-08-13,115.59
120002,2022-08-20,113.96
120002,2022-08-27,113.9
120002,2022-09-03,112.06
120002,2022-09-10,111.5
120002,2022-09-17,111.77
120002,2022-09-24,109.8
120002,2022-10-01,111.07
120002,2022-10-08,109.09
120002,2022-10-15,109.59
120002,2022-10-22,109.45
120002,2022-10-29,110.22
120002,2022-11-05,111.44
120002,2022-11-12,112.25
120002,2022-11-19,110.51
120002,2022-11-26,113.27
120002,2022-12-03,112.31
120002,2022-12-10,112.36
120002,2022-12-17,112.42
120002,2022-12-24,111.6
120002,2022-12-31,110.66
120002,2023-01-07,108.78
120002,2023-01-14,107.33
120002,2023-01-21,108.45
120002,2023-01-28,109.46
120002,2023-02-04,111.38
120002,2023-02-11,113.15
120002,2023-02-18,113.85
120002,2023-02-25,116.61
120002,2023-03-04,118.69
120002,2023-03-11,117.99
120002,2023-03-18,116.39
120002,2023-03-25,119.07
120002,2023-04-01,120.8
120002,2023-04-08,122.34
120002,2023-04-15,120.45
120002,2023-04-22,118.62
120002,2023-04-29,119.51
120002,2023-05-06,119.12
120002,2023-05-13,121.33
120002,2023-05-20,120.68
120002,2023-05-27,119.22
120002,2023-06-03,118.15
120002,2023-06-10,118.67
120002,2023-06-17,119.5
120002,2023-06-24,121.07
120002,2023-07-01,119.94
120002,2023-07-08,119.64
120002,2023-07-15,121.01
120002,2023-07-22,123.35
120002,2023-07-29,125.81
120002,2023-08-05,124.78
120002,2023-08-12,126.15
120002,2023-08-19,125.53
120002,2023-08-26,124.97
120002,2023-09-02,123.52
120002,2023-09-09,123.5
120002,2023-09-16,123.25
120002,2023-09-23,122.62
120002,2023-09-30,125.23
120002,2023-10-07,124.06
120002,2023-10-14,122.95
120002,2023-10-21,122.29
120002,2023-10-28,122.57
120002,2023-11-04,125.06
120002,2023-11-11,124.3
120002,2023-11-18,124.08
120002,2023-11-25,126.07
120002,2023-12-02,126.65
120002,2023-12-09,126.74
120002,2023-12-16,125.42
120002,2023-12-23,124.17
120002,2023-12-30,126.9
120002,2024-01-06,129.21
120002,2024-01-13,129.07
120002,2024-01-20,130.71
120002,2024-01-27,132.38
120002,2024-02-03,134.31
120002,2024-02-10,133.94
120002,2024-02-17,134.13
120002,2024-02-24,134.49
120002,2024-03-02,134.24
120002,2024-03-09,133.72
120002,2024-03-16,132.38
120002,2024-03-23,133.94
120002,2024-03-30,133.87
120002,2024-04-06,136.48
120002,2024-04-13,138.98
120002,2024-04-20,140.89
120002,2024-04-27,143.25
120002,2024-05-04,145.99
120002,2024-05-11,146.85
120002,2024-05-18,147.17
120002,2024-05-25,148.25
120002,2024-06-01,149.6
120002,2024-06-08,149.14
120002,2024-06-15,152.1
120002,2024-06-22,153.99
120002,2024-06-29,154.49
120002,2024-07-06,155.1
120002,2024-07-13,155.34
120002,2024-07-20,157.65
120002,2024-07-27,158.03
120002,2024-08-03,160.88
120002,2024-08-10,159.32
120002,2024-08-17,157.75
120002,2024-08-24,158.2
120002,2024-08-31,157.62
120002,2024-09-07,160.31
120002,2024-09-14,162.52
120002,2024-09-21,163.4
120002,2024-09-28,166.07
120002,2024-10-05,166.51
120002,2024-10-12,168.02
120002,2024-10-19,166.63
120002,2024-10-26,169.07
120002,2024-11-02,168.02
120002,2024-11-09,167.27
120002,2024-11-16,166.52
120002,2024-11-23,166.05
120002,2024-11-30,164.35
120002,2024-12-07,167.16
120002,2024-12-14,169.21
120002,2024-12-21,172.1
120002,2024-12-28,171.13
120002,2025-01-04,169.7
120002,2025-01-11,169.19
120002,2025-01-18,170.21
120002,2025-01-25,172.32
120002,2025-02-01,170.46
120002,2025-02-08,172.94
120002,2025-02-15,172.74
120002,2025-02-22,172.48
120002,2025-03-01,174.02
120002,2025-03-08,172.36
120002,2025-03-15,171.58
120002,2025-03-22,174.17
120002,2025-03-29,174.28
120002,2025-04-05,175.8
120002,2025-04-12,177.23
120002,2025-04-19,177.05
120002,2025-04-26,179.52
120002,2025-05-03,180.3
120002,2025-05-10,178.55
120002,2025-05-17,178.69
120002,2025-05-24,179.03
120002,2025-05-31,180.02
120002,2025-06-07,178.69
120002,2025-06-14,181.61
120002,2025-06-21,180.15
120002,2025-06-28,181.51
120002,2025-07-05,183.46
120002,2025-07-12,184.98
120002,2025-07-19,186.36
120002,2025-07-26,184.72
120002,2025-08-02,184.31
120002,2025-08-09,185.57
120002,2025-08-16,185.87
120002,2025-08-23,186.32
120002,2025-08-30,187.04
120002,2025-09-06,188.08
120002,2025-09-13,186.78
120002,2025-09-20,186.52
120002,2025-09-27,187.01
120002,2025-10-04,185.59
120002,2025-10-11,184.19
120002,2025-10-18,184.49
120002,2025-10-25,185.2
120002,2025-11-01,183.78
120002,2025-11-08,185.28
120002,2025-11-15,187.61
120002,2025-11-22,187.45
120002,2025-11-29,188.39
120002,2025-12-06,187.35
120002,2025-12-13,186.52
120002,2025-12-20,184.77
120002,2025-12-27,184.35
120003,2022-01-01,102.7
120003,2022-01-08,101.17
120003,2022-01-15,102.1
120003,2022-01-22,100.28
120003,2022-01-29,100.36
120003,2022-02-05,102.53
120003,2022-02-12,101.94
120003,2022-02-19,101.14
120003,2022-02-26,100.67
120003,2022-03-05,99.02
120003,2022-03-12,100.68
120003,2022-03-19,101.47
120003,2022-03-26,103.78
120003,2022-04-02,102.81
120003,2022-04-09,104.61
120003,2022-04-16,104.84
120003,2022-04-23,106.96
120003,2022-04-30,108.69
120003,2022-05-07,111.61
120003,2022-05-14,113.04
120003,2022-05-21,113.42
120003,2022-05-28,113.82
120003,2022-06-04,115.67
120003,2022-06-11,118.11
120003,2022-06-18,120.43
120003,2022-06-25,122.11
120003,2022-07-02,124.19
120003,2022-07-09,126.9
120003,2022-07-16,128.14
120003,2022-07-23,129.24
120003,2022-07-30,130.94
120003,2022-08-06,132.93
120003,2022-08-13,133.52
120003,2022-08-20,134.85
120003,2022-08-27,135.23
120003,2022-09-03,133.34
120003,2022-09-10,135.96
120003,2022-09-17,136.76
120003,2022-09-24,138.14
120003,2022-10-01,136.75
120003,2022-10-08,139.03
120003,2022-10-15,140.71
120003,2022-10-22,138.72
